Investor,City,Country,Latitude,Longitude,Closest FUA
Walerud Ventures,Stockholm,Sweden,59.3251172,18.0710935,Stockholm
Aqua-Spark,Leeuwarden,Netherlands,53.2005936,5.7918548,Leeuwarden
FundedByMe,Stockholm,Sweden,59.3251172,18.0710935,Stockholm
Alfa Laval,Lund,Sweden,55.7029296,13.1929449,Malmö
Siemens Energy,Munich,Germany,48.1371079,11.5753822,München
Uniper,Düsseldorf,Germany,51.2254018,6.7763137,Düsseldorf
Haldor Topsoe,Kgs. Lyngby,Denmark,55.7718649,12.5051413,København
Elyse Energy,Paris,France,48.8534951,2.3483915,Paris
Exor Seeds,Turin,Italy,45.0677551,7.6824892,Torino
HCVC,Paris,France,48.8534951,2.3483915,Paris
Innovationsstarter Fonds,Hamburg,Germany,53.550341,10.000654,Hamburg
P3 Group,Stuttgart,Germany,48.7784485,9.1800132,Stuttgart
Invesdor,Helsinki,Finland,60.1674881,24.9427473,Helsinki/Helsingfors
Pekka Koskinen,Helsinki,Finland,60.1674881,24.9427473,Helsinki/Helsingfors
Esa Mäkeläinen,Helsinki,Finland,60.1674881,24.9427473,Helsinki/Helsingfors
Charles Odinot,Paris,France,48.8534951,2.3483915,Paris
Jaakko Salminen,Helsinki,Finland,60.1674881,24.9427473,Helsinki/Helsingfors
Raimo Vaalasranta,Helsinki,Finland,60.1674881,24.9427473,Helsinki/Helsingfors
Diplomite Oy,Helsinki,Finland,60.1674881,24.9427473,Helsinki/Helsingfors
Tekes,Helsinki,Finland,60.1674881,24.9427473,Helsinki/Helsingfors
Andreas Rosenlew,Helsinki,Finland,60.1674881,24.9427473,Helsinki/Helsingfors
Tero Ojanperä,Helsinki,Finland,60.1674881,24.9427473,Helsinki/Helsingfors
Aboa Advest,Helsinki,Finland,60.1674881,24.9427473,Helsinki/Helsingfors
SET Ventures,Amsterdam,Netherlands,52.3730796,4.8924534,Amsterdam
ČEZ,Prague,Czech Republic,50.0874654,14.4212535,Praha
Axsol,Paris,France,48.8534951,2.3483915,Paris
Vigo Carlund,Stockholm,Sweden,59.3251172,18.0710935,Stockholm
Beijers Ventures,Stockholm,Sweden,59.3251172,18.0710935,Stockholm
LIU Invest,Stockholm,Sweden,59.3251172,18.0710935,Stockholm
Beijer Ventures,Stockholm,Sweden,59.3251172,18.0710935,Stockholm
United Ventures,Milan,Italy,45.4641943,9.1896346,Milano
LVenture Group,Rome,Italy,41.8933203,12.4829321,Roma
DOORWAY,Bologna,Italy,44.4938203,11.3426327,Bologna
Seven Moratti,Milan,Italy,45.4641943,9.1896346,Milano
Feel Venture,Helsinki,Finland,60.1674881,24.9427473,Helsinki/Helsingfors
NextUp partners,Helsinki,Finland,60.1674881,24.9427473,Helsinki/Helsingfors
Mercedes-Benz Group AG,Stuttgart,Germany,48.7784485,9.1800132,Stuttgart
BMW,Munich,Germany,48.1371079,11.5753822,München
Porsche,Stuttgart,Germany,48.7784485,9.1800132,Stuttgart
Audi,Ingolstadt,Germany,48.7630165,11.4250395,Ingolstadt
EUREKA Network Projects,Brussels,Belgium,50.8465573,4.351697,Mechelen
TiLT Capital Partners,Paris,France,48.8534951,2.3483915,Paris
Otium Capital,Paris,France,48.8534951,2.3483915,Paris
Arkea Capital,Paris,France,48.8534951,2.3483915,Paris
SofiOuest,Paris,France,48.8534951,2.3483915,Paris
Inco Ventures,Paris,France,48.8534951,2.3483915,Paris
Danone Manifesto Ventures,Paris,France,48.8534951,2.3483915,Paris
Byggmästare Anders J Ahlström,Stockholm,Sweden,59.3251172,18.0710935,Stockholm
Federal Ministry of Transport and Digital Infrastructure,Berlin,Germany,52.510885,13.3989367,Berlin
Peter Dahlberg,Stockholm,Sweden,59.3251172,18.0710935,Stockholm
Team Europe,Berlin,Germany,52.510885,13.3989367,Berlin
Wellstreet,Stockholm,Sweden,59.3251172,18.0710935,Stockholm
SEB Venture Capital,Stockholm,Sweden,59.3251172,18.0710935,Stockholm
3TInvest,Stockholm,Sweden,59.3251172,18.0710935,Stockholm
Swedbank,Stockholm,Sweden,59.3251172,18.0710935,Stockholm
Ilija Batljan,Stockholm,Sweden,59.3251172,18.0710935,Stockholm
Stena Sessan,Stockholm,Sweden,59.3251172,18.0710935,Stockholm
Tet Ventures,Berlin,Germany,52.510885,13.3989367,Berlin
aws Founders Fund,Vienna,Austria,48.2083537,16.3725042,Wien
Look Up Ventures,Copenhagen,Denmark,55.6867243,12.5700724,København
AIP Seed,Warsaw,Poland,52.2319581,21.0067249,Warszawa
HGDF Familienholding,Flensburg,Germany,54.7833021,9.4333264,Flensburg
Stefan Müller,Berlin,Germany,52.510885,13.3989367,Berlin
Martin Herrmann,Berlin,Germany,52.510885,13.3989367,Berlin
Point Nine,Berlin,Germany,52.510885,13.3989367,Berlin
Berlin Angel Fund,Berlin,Germany,52.510885,13.3989367,Berlin
Antonio Mesquida Küsters,Berlin,Germany,52.510885,13.3989367,Berlin
Keith Sauvant,Berlin,Germany,52.510885,13.3989367,Berlin
Andreas Booke,Berlin,Germany,52.510885,13.3989367,Berlin
David Balensiefen,Berlin,Germany,52.510885,13.3989367,Berlin
Ralf Christian,Berlin,Germany,52.510885,13.3989367,Berlin
Generation-E,Berlin,Germany,52.510885,13.3989367,Berlin
Andreas Gelfort,Berlin,Germany,52.510885,13.3989367,Berlin
Stephen Asplin,Berlin,Germany,52.510885,13.3989367,Berlin
Newion,Amsterdam,Netherlands,52.3730796,4.8924534,Amsterdam
Astelia,Paris,France,48.8534951,2.3483915,Paris
Meridiam,Paris,France,48.8534951,2.3483915,Paris
Alliander,Arnhem,Netherlands,51.984257,5.9108573,Arnhem
Mundi Ventures,Madrid,Spain,40.4167047,-3.7035825,Madrid
Big Sur Ventures,Madrid,Spain,40.4167047,-3.7035825,Madrid
Lánzate,Madrid,Spain,40.4167047,-3.7035825,Madrid
Andreas Mihalovits,Frankfurt,Germany,50.1106444,8.6820917,Frankfurt am Main
Bmp Ventures,Berlin,Germany,52.510885,13.3989367,Berlin
Berenberg,Hamburg,Germany,53.550341,10.000654,Hamburg
IBG Beteiligungsgesellschaft Sachsen-Anhalt,Magdeburg,Germany,52.1315889,11.6399609,Magdeburg
ECapital,Münster,Germany,51.9625101,7.6251879,Münster
Banque Populaire Auvergne Rhône Alpes,Lyon,France,45.7578137,4.8320114,Lyon
Crédit Agricole Alpes Développement,Annecy,France,45.8992348,6.1288847,Annecy
Deutsche Kreditbank,Berlin,Germany,52.510885,13.3989367,Berlin
Triodos Investment Management,Zeist,Netherlands,52.0892832,5.2276307,Utrecht
TechQuartier,Frankfurt,Germany,50.1106444,8.6820917,Frankfurt am Main
Seed + speed Ventures,Berlin,Germany,52.510885,13.3989367,Berlin
Carsten Maschmeyer,Hannover,Germany,52.3744779,9.7385532,Hannover
4Impact,The Hague,Netherlands,52.0799838,4.3113461,'s-Gravenhage
Purple Orange Ventures,Berlin,Germany,52.510885,13.3989367,Berlin
Nordic FoodTech VC,Helsinki,Finland,60.1674881,24.9427473,Helsinki/Helsingfors
PINC,Stockholm,Sweden,59.3251172,18.0710935,Stockholm
Be8 Ventures,Berlin,Germany,52.510885,13.3989367,Berlin
Vestas Ventures,Aarhus,Denmark,56.1496278,10.2134046,Århus
Robolution Capital,Paris,France,48.8534951,2.3483915,Paris
IRDInov,Paris,France,48.8534951,2.3483915,Paris
Soitec,Bernin,France,45.2693836,5.8664744,Grenoble
CM-CIC Innovation,Paris,France,48.8534951,2.3483915,Paris
bValue,Warsaw,Poland,52.2319581,21.0067249,Warszawa
Joensuun Kauppa,Joensuu,Finland,62.6005753,29.7622128,Kuopio
KONE,Espoo,Finland,60.2047672,24.6568435,Helsinki/Helsingfors
Copacking,Paris,France,48.8534951,2.3483915,Paris
Seedi,Paris,France,48.8534951,2.3483915,Paris
Eski B.V,Amsterdam,Netherlands,52.3730796,4.8924534,Amsterdam
Eren Groupe,Paris,France,48.8534951,2.3483915,Paris
Habert Dassault Finance,Paris,France,48.8534951,2.3483915,Paris
DIG Investment,Stockholm,Sweden,59.3251172,18.0710935,Stockholm
Munters,Stockholm,Sweden,59.3251172,18.0710935,Stockholm
SEB Greentech,Stockholm,Sweden,59.3251172,18.0710935,Stockholm
Opalic,Paris,France,48.8534951,2.3483915,Paris
Provence Business Angels,Marseille,France,43.2961743,5.3699525,Marseille
alubi capital GmbH,Munich,Germany,48.1371079,11.5753822,München
WENVEST Capital,Munich,Germany,48.1371079,11.5753822,München
Startport,Duisburg,Germany,51.434999,6.759562,Krefeld
New Mobility World,Frankfurt,Germany,50.1106444,8.6820917,Frankfurt am Main
Jan Bohl,Berlin,Germany,52.510885,13.3989367,Berlin
BayBG Venture Capital,Munich,Germany,48.1371079,11.5753822,München
WERK1,Munich,Germany,48.1371079,11.5753822,München
Falk Strascheg Holding,Munich,Germany,48.1371079,11.5753822,München
Dr. Schulze Consulting and Holding GmbH,Berlin,Germany,52.510885,13.3989367,Berlin
PolyTech,Brønderslev,Denmark,57.2700129,9.9448631,Aalborg
Oikocredit International,Amersfoort,Netherlands,52.1562499,5.3896944,Amersfoort
SGH Capital,Paris,France,48.8534951,2.3483915,Paris
Agoranov,Paris,France,48.8534951,2.3483915,Paris
Sake Bosch,Amsterdam,Netherlands,52.3730796,4.8924534,Amsterdam
Horizon 2020,Brussels,Belgium,50.8465573,4.351697,Mechelen
UPSCALE Project,Brussels,Belgium,50.8465573,4.351697,Mechelen
FI-C3,Brussels,Belgium,50.8465573,4.351697,Mechelen
FIWARE,Berlin,Germany,52.510885,13.3989367,Berlin
MOL Group,Budapest,Hungary,47.4813896,19.1460941,Budapest
Rainmaking,Copenhagen,Denmark,55.6867243,12.5700724,København
The Ville de Demain fund,Paris,France,48.8534951,2.3483915,Paris
Plant 4.0 Team,Paris,France,48.8534951,2.3483915,Paris
Four Partners,Paris,France,48.8534951,2.3483915,Paris
Ersel Asset Management,Turin,Italy,45.0677551,7.6824892,Torino
Caixa Capital (Portugal),Lisbon,Portugal,38.7077507,-9.1365919,Lisboa
InnoBAN Business Angel Network,Porto,Portugal,41.1494512,-8.6107884,Porto
Carlos Oliveira,Porto,Portugal,41.1494512,-8.6107884,Porto
Novo Banco,Lisbon,Portugal,38.7077507,-9.1365919,Lisboa
PortXL,Rotterdam,Netherlands,51.9244424,4.47775,Rotterdam
UPTEC – Science and Technology Park of University of Porto,Porto,Portugal,41.1494512,-8.6107884,Porto
University of Porto,Porto,Portugal,41.1494512,-8.6107884,Porto
ESA BIC PORTUGAL,Porto,Portugal,41.1494512,-8.6107884,Porto
FORWARD.one Venture Capital,Amsterdam,Netherlands,52.3730796,4.8924534,Amsterdam
Marc de Jong,Amsterdam,Netherlands,52.3730796,4.8924534,Amsterdam
50 Partners,Paris,France,48.8534951,2.3483915,Paris
ISAI,Paris,France,48.8534951,2.3483915,Paris
GO Capital,Nantes,France,47.2186371,-1.5541362,Nantes
Epopée West Web Valley,Brest,France,48.3905283,-4.4860088,Brest
BOOST Programs,Paris,France,48.8534951,2.3483915,Paris
Encevo,Esch-sur-Alzette,Luxembourg,49.4959628,5.9850306,Hayange
Sap.iO Foundry Munich,Munich,Germany,48.1371079,11.5753822,München
EPSA,Paris,France,48.8534951,2.3483915,Paris
New Energy Challenge,Amsterdam,Netherlands,52.3730796,4.8924534,Amsterdam
ENERGIIQ,The Hague,Netherlands,52.0799838,4.3113461,'s-Gravenhage
henQ,Amsterdam,Netherlands,52.3730796,4.8924534,Amsterdam
Energy Transition Fund Rotterdam,Rotterdam,Netherlands,51.9244424,4.47775,Rotterdam
Dutch National Fund for Green Investments,The Hague,Netherlands,52.0799838,4.3113461,'s-Gravenhage
Energietransitiefonds Rotterdam,Rotterdam,Netherlands,51.9244424,4.47775,Rotterdam
SKion GmbH,Bad Homburg,Germany,50.2267699,8.6169093,Frankfurt am Main
Ingka Investments,Leiden,Netherlands,52.1594747,4.4908843,Leiden
SeedCapital Dortmund,Dortmund,Germany,51.5142273,7.4652789,Ruhrgebiet
Thomas Mathenia,Berlin,Germany,52.510885,13.3989367,Berlin
Eugen Hahn,Berlin,Germany,52.510885,13.3989367,Berlin
Boysen Management,Altensteig,Germany,48.5851784,8.6014741,Tübingen
Ruhr:Hub,Essen,Germany,51.4582235,7.0158171,Ruhrgebiet
APER Ventures,Warsaw,Poland,52.2319581,21.0067249,Warszawa
Podkarpackie Science and Technology Park,Rzeszów,Poland,50.0374531,22.0047174,Rzeszów
European Union,Brussels,Belgium,50.8465573,4.351697,Mechelen
JR Holding,Kraków,Poland,50.0619474,19.9368564,Kraków
UAB Electronics System,Kaunas,Lithuania,54.8982139,23.9044817,Kaunas
January Ciszewski,Kraków,Poland,50.0619474,19.9368564,Kraków
EIT Food,Leuven,Belgium,50.879202,4.7011675,Bruxelles/Brussel/Leuven
STOAF (Stockholms Affärsänglar),Stockholm,Sweden,59.3251172,18.0710935,Stockholm
Sweden Enerny Angels,Stockholm,Sweden,59.3251172,18.0710935,Stockholm
Magnus Eriksson,Stockholm,Sweden,59.3251172,18.0710935,Stockholm
Per Brilioth,Stockholm,Sweden,59.3251172,18.0710935,Stockholm
Ashley Heppenstall,Stockholm,Sweden,59.3251172,18.0710935,Stockholm
Merro,Stockholm,Sweden,59.3251172,18.0710935,Stockholm
Erik Fischbeck,Stockholm,Sweden,59.3251172,18.0710935,Stockholm
Thorgate Ventures,Tallinn,Estonia,59.4372155,24.7453688,Tallinn
SpeedUp Group,Poznań,Poland,52.4082663,16.9335199,Poznań
Markku Jääskelainen,Helsinki,Finland,60.1674881,24.9427473,Helsinki/Helsingfors
ESA BIC ESTONIA,Tallinn,Estonia,59.4372155,24.7453688,Tallinn
SpeedUp Energy Innovation,Poznań,Poland,52.4082663,16.9335199,Poznań
Icos Capital,Rotterdam,Netherlands,51.9244424,4.47775,Rotterdam
No Such Ventures,Amsterdam,Netherlands,52.3730796,4.8924534,Amsterdam
NSV,Amsterdam,Netherlands,52.3730796,4.8924534,Amsterdam
Elaia Partners,Paris,France,48.8534951,2.3483915,Paris
Wiseed,Toulouse,France,43.6044622,1.4442469,Toulouse
Startup Angels Alb-Bodensee,Friedrichshafen,Germany,47.6500279,9.4800858,Friedrichshafen
Famille C Participations,Paris,France,48.8534951,2.3483915,Paris
MGI Digital Technology,Bordeaux,France,44.841225,-0.5800364,Bordeaux
ISRA Cards,Paris,France,48.8534951,2.3483915,Paris
Femmes Business Angels,Paris,France,48.8534951,2.3483915,Paris
Souverain,Paris,France,48.8534951,2.3483915,Paris
Fonds Souverain Auvergne-Rhône-Alpes,Lyon,France,45.7578137,4.8320114,Lyon
Innovation Fund,Brussels,Belgium,50.8465573,4.351697,Mechelen
KU Leuven,Leuven,Belgium,50.879202,4.7011675,Bruxelles/Brussel/Leuven
Finindus,Gent,Belgium,51.0538286,3.7250121,Gent
Gemma Frisius Fund - GFF,Leuven,Belgium,50.879202,4.7011675,Bruxelles/Brussel/Leuven
Invest for jobs,Brussels,Belgium,50.8465573,4.351697,Mechelen
Octalfa,Lyon,France,45.7578137,4.8320114,Lyon
Alpes Developpement Durable Invest,Annecy,France,45.8992348,6.1288847,Annecy
XAnge,Paris,France,48.8534951,2.3483915,Paris
Siparex,Lyon,France,45.7578137,4.8320114,Lyon
Saint-Gobain NOVA,Paris,France,48.8534951,2.3483915,Paris
Saint-Gobain Distribution Bâtiment France,Paris,France,48.8534951,2.3483915,Paris
FASTEA CAPITAL,Nantes,France,47.2186371,-1.5541362,Nantes
Pays de la Loire Participations,Nantes,France,47.2186371,-1.5541362,Nantes
NUMA,Paris,France,48.8534951,2.3483915,Paris
Investessor,Paris,France,48.8534951,2.3483915,Paris
Paris Business Angels,Paris,France,48.8534951,2.3483915,Paris
WeLike,Paris,France,48.8534951,2.3483915,Paris
IDIA Capital Investissement,Paris,France,48.8534951,2.3483915,Paris
CAP3Ri,Paris,France,48.8534951,2.3483915,Paris
Nord Capital Partenaires,Paris,France,48.8534951,2.3483915,Paris
Eiffage Group,Asnières-sur-Seine,France,48.9105948,2.2890454,Saint-Denis
Concordia Capital,Paris,France,48.8534951,2.3483915,Paris
Oy Etrisk Ab,Helsinki,Finland,60.1674881,24.9427473,Helsinki/Helsingfors
Ab Integrado Oy,Helsinki,Finland,60.1674881,24.9427473,Helsinki/Helsingfors
Valor Life Insurance,Helsinki,Finland,60.1674881,24.9427473,Helsinki/Helsingfors
Conor Venture Partners,Helsinki,Finland,60.1674881,24.9427473,Helsinki/Helsingfors
KWH Group,Vaasa,Finland,63.0818209,21.4798125,Umeå
AVS-Yhtiöt Oy,Vaasa,Finland,63.0818209,21.4798125,Umeå
Timo Pulkki,Helsinki,Finland,60.1674881,24.9427473,Helsinki/Helsingfors
Jaakko Säiläkivi,Helsinki,Finland,60.1674881,24.9427473,Helsinki/Helsingfors
Nurmiranta Holdings,Helsinki,Finland,60.1674881,24.9427473,Helsinki/Helsingfors
SHIFT Invest,Amsterdam,Netherlands,52.3730796,4.8924534,Amsterdam
Nxtgen Hightech,Eindhoven,Netherlands,51.4392648,5.478633,Eindhoven
Finovam,Lille,France,50.6365654,3.0635282,Lille
Picardie Investissement,Amiens,France,49.8941708,2.2956951,Amiens
Daphni,Paris,France,48.8534951,2.3483915,Paris
Sofiane Ammar,Paris,France,48.8534951,2.3483915,Paris
Cedric Sellin,Paris,France,48.8534951,2.3483915,Paris
Citizen Capital,Paris,France,48.8534951,2.3483915,Paris
Bleu Capital,Paris,France,48.8534951,2.3483915,Paris
GNE Finance,Barcelona,Spain,41.3828939,2.1774322,Barcelona
Mario Götze,Dortmund,Germany,51.5142273,7.4652789,Ruhrgebiet
Jens Hewald,Berlin,Germany,52.510885,13.3989367,Berlin
Brigitte Mohn,Gütersloh,Germany,51.9063997,8.3782078,Bielefeld
Thorsten Schiefer,Berlin,Germany,52.510885,13.3989367,Berlin
Benjamin Otto,Hamburg,Germany,53.550341,10.000654,Hamburg
ProSiebenSat1 Media,Unterföhring,Germany,48.1950385,11.6449251,München
Ebm-papst,Mulfingen,Germany,49.3404606,9.8009533,Heilbronn
Startupbootcamp Smart Materials,Amsterdam,Netherlands,52.3730796,4.8924534,Amsterdam
Earlybird Venture Capital,Berlin,Germany,52.510885,13.3989367,Berlin
Diputación Foral de Bizkaia,Bilbao,Spain,43.2630018,-2.9350039,Bilbao
Basque Government,Vitoria-Gasteiz,Spain,42.8465088,-2.6724025,Vitoria/Gasteiz
Seed Capital Bizkaia,Bilbao,Spain,43.2630018,-2.9350039,Bilbao
Gestión Capital Riesgo Euskadi,Bilbao,Spain,43.2630018,-2.9350039,Bilbao
Venture to Future Fund,Bratislava,Slovakia,48.1592603,17.1396587,Bratislava
Credo Ventures,Prague,Czech Republic,50.0874654,14.4212535,Praha
Y Soft Ventures,Brno,Czech Republic,49.1922443,16.6113382,Brno
Crowdberry,Bratislava,Slovakia,48.1592603,17.1396587,Bratislava
Patrick Hessel,Bratislava,Slovakia,48.1592603,17.1396587,Bratislava
LRJ Capital,Bratislava,Slovakia,48.1592603,17.1396587,Bratislava
Government of Slovak Republic,Bratislava,Slovakia,48.1592603,17.1396587,Bratislava
Juraj Vaculik,Bratislava,Slovakia,48.1592603,17.1396587,Bratislava
Ministry of Education,Bratislava,Slovakia,48.1592603,17.1396587,Bratislava
NRW.BANK,Düsseldorf,Germany,51.2254018,6.7763137,Düsseldorf
EWE AG,Oldenburg,Germany,53.1389753,8.2146017,Oldenburg (Oldenburg)
Foundamental,Berlin,Germany,52.510885,13.3989367,Berlin
The Footprint Firm,Copenhagen,Denmark,55.6867243,12.5700724,København
Christian Bach,Berlin,Germany,52.510885,13.3989367,Berlin
Jürgen Mayerhofer,Vienna,Austria,48.2083537,16.3725042,Wien
Bo Wase,Stockholm,Sweden,59.3251172,18.0710935,Stockholm
VNG Innovation,Leipzig,Germany,51.3406321,12.3747329,Leipzig
Felix Schaal,Berlin,Germany,52.510885,13.3989367,Berlin
Seedmatch,Dresden,Germany,51.0493286,13.7381437,Dresden
Valentin de Torres,Paris,France,48.8534951,2.3483915,Paris
Solanot del Pino,Madrid,Spain,40.4167047,-3.7035825,Madrid
Smart Infrastructure Ventures,Leipzig,Germany,51.3406321,12.3747329,Leipzig
be-exponential,Berlin,Germany,52.510885,13.3989367,Berlin
Christopher Burghardt,Brussels,Belgium,50.8465573,4.351697,Mechelen
Niels Ellwanger,Berlin,Germany,52.510885,13.3989367,Berlin
Roman Dudenhausen,Berlin,Germany,52.510885,13.3989367,Berlin
Kale United,Stockholm,Sweden,59.3251172,18.0710935,Stockholm
Bertebos Foundation,Falkenberg,Sweden,56.904894,12.4912926,Göteborg
Falkenbergs Sparbanks Foundation,Falkenberg,Sweden,56.904894,12.4912926,Göteborg
VEOS,Ghent,Belgium,51.0538286,3.7250121,Gent
GU Ventures AB,Gothenburg,Sweden,57.7072326,11.9670171,Göteborg
Jonas Norlander,Stockholm,Sweden,59.3251172,18.0710935,Stockholm
Phoneragrundaren Henric Wiklund,Stockholm,Sweden,59.3251172,18.0710935,Stockholm
Fabian Hielte,Stockholm,Sweden,59.3251172,18.0710935,Stockholm
IDEC,Barcelona,Spain,41.3828939,2.1774322,Barcelona
Elaïs Capital,Paris,France,48.8534951,2.3483915,Paris
Schüttflix,Gütersloh,Germany,51.9063997,8.3782078,Bielefeld
Sennder,Berlin,Germany,52.510885,13.3989367,Berlin
Ananda Impact Ventures,Munich,Germany,48.1371079,11.5753822,München
Jolt Capital,Paris,France,48.8534951,2.3483915,Paris
Enagás Emprende,Madrid,Spain,40.4167047,-3.7035825,Madrid
Springvest,Helsinki,Finland,60.1674881,24.9427473,Helsinki/Helsingfors
Inveni Capital,Helsinki,Finland,60.1674881,24.9427473,Helsinki/Helsingfors
University of Helsinki,Helsinki,Finland,60.1674881,24.9427473,Helsinki/Helsingfors
Veritas Pension Insurance,Helsinki,Finland,60.1674881,24.9427473,Helsinki/Helsingfors
Finvus Invest,Paris,France,48.8534951,2.3483915,Paris
Matmut Innovation,Rouen,France,49.4404591,1.0939658,Rouen
Construction Venture,Paris,France,48.8534951,2.3483915,Paris
BTP Capital Investment,Paris,France,48.8534951,2.3483915,Paris
Nord Création,Lille,France,50.6365654,3.0635282,Lille
Nord France Amorcage,Lille,France,50.6365654,3.0635282,Lille
Mianach Venture Capital,Paris,France,48.8534951,2.3483915,Paris
NCB Ventures,Paris,France,48.8534951,2.3483915,Paris
Ulster Bank Diageo Venture Fund,Dublin,Ireland,53.3493795,-6.2605593,Dublin
Enterprise Ireland,Dublin,Ireland,53.3493795,-6.2605593,Dublin
Go Capital,Nantes,France,47.2186371,-1.5541362,Nantes
Compagnie Nationale du Rhône - CNR,Lyon,France,45.7578137,4.8320114,Lyon
HELEA FINANCIERE,Paris,France,48.8534951,2.3483915,Paris
Electra Invest,Paris,France,48.8534951,2.3483915,Paris
Normandie Participations,Rouen,France,49.4404591,1.0939658,Rouen
Provepharm,Marseille,France,43.2961743,5.3699525,Marseille
iXblue,Saint-Germain-en-Laye,France,48.9356047,2.0917743,Paris
Saint-Gobain,La Défense,France,48.891008,2.2412078,Paris
Ponticelli Frères,Émerainville,France,48.8115813,2.6212919,Paris
Groupe ADF,Vitrolles,France,44.4347105,5.9496043,Grenoble
AES DANA,Paris,France,48.8534951,2.3483915,Paris
Sigma Gestion,Paris,France,48.8534951,2.3483915,Paris
Altur Investissement (Formerly Turenne Investissement),Paris,France,48.8534951,2.3483915,Paris
A Capital,Brussels,Belgium,50.8465573,4.351697,Mechelen
SPDG,Brussels,Belgium,50.8465573,4.351697,Mechelen
Gravitation,Paris,France,48.8534951,2.3483915,Paris
Credit Agricole Entreprises,Paris,France,48.8534951,2.3483915,Paris
ACG Equity Partners,Paris,France,48.8534951,2.3483915,Paris
Vito Ventures,Munich,Germany,48.1371079,11.5753822,München
Ritter Starkstromtechnik,Frankfurt,Germany,50.1106444,8.6820917,Frankfurt am Main
Angelsquare,Paris,France,48.8534951,2.3483915,Paris
EDP Starter,Lisbon,Portugal,38.7077507,-9.1365919,Lisboa
Taver Capital Partners,Paris,France,48.8534951,2.3483915,Paris
Aglaé Ventures,Paris,France,48.8534951,2.3483915,Paris
Groupe Arnault,Paris,France,48.8534951,2.3483915,Paris
Sprints,Paris,France,48.8534951,2.3483915,Paris
Chameleon Invest,Paris,France,48.8534951,2.3483915,Paris
Ciclad,Paris,France,48.8534951,2.3483915,Paris
Johes,Paris,France,48.8534951,2.3483915,Paris
IRIS,Paris,France,48.8534951,2.3483915,Paris
Polytechnique Ventures,Paris,France,48.8534951,2.3483915,Paris
Jean-Gabriel Levon,Paris,France,48.8534951,2.3483915,Paris
Antoine de Chassy,Paris,France,48.8534951,2.3483915,Paris
Litto Invest,Paris,France,48.8534951,2.3483915,Paris
Farinia Group,Paris,France,48.8534951,2.3483915,Paris
Roosgruppen AB,Stockholm,Sweden,59.3251172,18.0710935,Stockholm
Alecta,Stockholm,Sweden,59.3251172,18.0710935,Stockholm
Segnalita,Paris,France,48.8534951,2.3483915,Paris
Helmes,Tallinn,Estonia,59.4372155,24.7453688,Tallinn
Sten Tamkivi,Tallinn,Estonia,59.4372155,24.7453688,Tallinn
Specialist VC,Tallinn,Estonia,59.4372155,24.7453688,Tallinn
Link Capital,Paris,France,48.8534951,2.3483915,Paris
The Sharing Group,Amsterdam,Netherlands,52.3730796,4.8924534,Amsterdam
Sunly,Tallinn,Estonia,59.4372155,24.7453688,Tallinn
Elar Nellis,Tallinn,Estonia,59.4372155,24.7453688,Tallinn
Taavi Kotka,Tallinn,Estonia,59.4372155,24.7453688,Tallinn
Kersti Kaljulaid,Tallinn,Estonia,59.4372155,24.7453688,Tallinn
Auriga Partners,Paris,France,48.8534951,2.3483915,Paris
Auriga Partners (Paris),Paris,France,48.8534951,2.3483915,Paris
Qair Innovation,Montpellier,France,43.6112422,3.8767337,Montpellier
PSIM,Paris,France,48.8534951,2.3483915,Paris
Initiatives pour une Economie Solidaire,Paris,France,48.8534951,2.3483915,Paris
Credit Mutuel Arkea,Brest,France,48.3905283,-4.4860088,Brest
UtrechtInc,Utrecht,Netherlands,52.0809856,5.127684,Utrecht
Duurzaam Investeren,Amsterdam,Netherlands,52.3730796,4.8924534,Amsterdam
Energiefonds Utrecht,Utrecht,Netherlands,52.0809856,5.127684,Utrecht
Energiefonds Overijssel,Zwolle,Netherlands,52.5089759,6.0943765,Zwolle
Oost NL,Apeldoorn,Netherlands,52.1795738,5.9300775,Apeldoorn
GIMV,Antwerp,Belgium,51.2211097,4.3997081,Antwerpen
Edgard Vermeersch,Antwerp,Belgium,51.2211097,4.3997081,Antwerpen
Smartfin Ventures,Antwerp,Belgium,51.2211097,4.3997081,Antwerpen
Smartfin,Antwerp,Belgium,51.2211097,4.3997081,Antwerpen
Alychlo,Antwerp,Belgium,51.2211097,4.3997081,Antwerpen
It Translation,Paris,France,48.8534951,2.3483915,Paris
IT-Translation,Paris,France,48.8534951,2.3483915,Paris
Capnamic Ventures,Cologne,Germany,50.938361,6.959974,Köln
42CAP,Munich,Germany,48.1371079,11.5753822,München
Impuls Zeeland,Middelburg,Netherlands,51.4996784,3.6137371,Middelburg       
Huisman Equipment,Schiedam,Netherlands,51.91718,4.4019149,Rotterdam
ROM InWest,Amsterdam,Netherlands,52.3730796,4.8924534,Amsterdam
Oneplanetcrowd,Amsterdam,Netherlands,52.3730796,4.8924534,Amsterdam
Rinkelberg Capital,Amsterdam,Netherlands,52.3730796,4.8924534,Amsterdam
Meewind,Amsterdam,Netherlands,52.3730796,4.8924534,Amsterdam
Triodos Bank,Zeist,Netherlands,52.0892832,5.2276307,Utrecht
A.S.R. Asset Management,Utrecht,Netherlands,52.0809856,5.127684,Utrecht
InvestInFuture,Amsterdam,Netherlands,52.3730796,4.8924534,Amsterdam
